%% system starts processing frames at time: 0.922104 sec.
%%frame id(0 based), finish frame proc time in secs, R,P,Y of Rc2w in radians,X,Y,Z of T c in w in meters.
34, 3.81303, -0.00162943, -0.0568146, -0.000516845, -0.0189009, -0.00352036, 0.351959
35, 3.84429, -0.00547064, -0.0576006, 0.00384125, -0.0195645, -0.00368316, 0.363872
36, 3.89115, -0.00528737, -0.0585935, 0.0111498, -0.0201038, -0.00377515, 0.375684
37, 4.0318, -0.00116947, -0.0600456, 0.0127231, -0.0207407, -0.00370733, 0.387409
38, 4.07865, 0.0023669, -0.061843, 0.012868, -0.021527, -0.00396727, 0.399827
39, 4.1099, 0.00322679, -0.0639871, 0.0115833, -0.022327, -0.00407063, 0.412117
40, 4.15678, 0.00184009, -0.0647926, 0.0117228, -0.0231096, -0.00421217, 0.424288
41, 4.20368, -0.000811847, -0.0659719, 0.00861304, -0.0239237, -0.00438617, 0.436524
42, 4.23491, -0.00231266, -0.0674292, 0.00863382, -0.02461, -0.00458686, 0.448626
43, 4.26617, -0.00505941, -0.0686838, 0.0073216, -0.0252716, -0.00481167, 0.460914
44, 4.31303, -0.00803486, -0.0689168, 0.00779035, -0.025898, -0.00481373, 0.473086
45, 4.3443, -0.0102022, -0.068677, 0.00254455, -0.0274015, -0.00497672, 0.485344
46, 4.4693, -0.0101783, -0.0692096, 0.00324543, -0.0278887, -0.00520456, 0.496424
47, 4.51625, -0.00866915, -0.0698457, 0.00437267, -0.0285842, -0.0051787, 0.508659
48, 4.56313, -0.00601891, -0.0696756, 0.00189806, -0.029662, -0.00511502, 0.521169
49, 4.59439, -0.00610467, -0.0706614, 0.00237842, -0.0305789, -0.00520776, 0.533333
50, 4.70377, -0.00740078, -0.0719376, 0.00442369, -0.0314132, -0.00529123, 0.545462
51, 4.76625, -0.00833287, -0.072762, 0.00409072, -0.0323281, -0.00524378, 0.557565
52, 4.7975, -0.00452132, -0.0730205, 0.00154884, -0.0332968, -0.00532126, 0.569598
53, 4.84438, -0.000330658, -0.0737719, 0.000825189, -0.0342721, -0.00541655, 0.581502
54, 4.89126, 0.00097819, -0.0743819, -0.000242568, -0.0352294, -0.00553924, 0.593573
55, 4.92251, -0.0027381, -0.0744774, 0.00112893, -0.0361708, -0.00570268, 0.605606
56, 4.96938, -0.00591526, -0.0748579, 0.00331207, -0.0369898, -0.00576326, 0.61758
57, 5.00065, -0.0066233, -0.0749335, 0.00561516, -0.0379663, -0.00580894, 0.629236
58, 5.04751, -0.00603123, -0.0755814, 0.00888261, -0.0384881, -0.00612991, 0.640786
59, 5.1569, -0.00470157, -0.0759561, 0.0108951, -0.0393574, -0.00620541, 0.652494
60, 5.20376, -0.0059019, -0.0761516, 0.012124, -0.0404596, -0.00622036, 0.663089
61, 5.25063, -0.0103678, -0.0771508, 0.0154961, -0.0413485, -0.00634875, 0.674647
62, 5.2819, -0.0154132, -0.0775331, 0.0166636, -0.0423139, -0.00638536, 0.686333
63, 5.32876, -0.0175889, -0.0781173, 0.0150531, -0.043265, -0.00642867, 0.697998
64, 5.37565, -0.0135199, -0.0796793, 0.01357, -0.0441714, -0.0064639, 0.70944
65, 5.48503, -0.00557901, -0.0809541, 0.0106622, -0.0451253, -0.00660701, 0.720551
66, 5.53189, -0.00104423, -0.081916, 0.00958275, -0.0460013, -0.00677036, 0.731509
67, 5.57876, -0.00164244, -0.0828915, 0.00483078, -0.0470519, -0.00690885, 0.742581
68, 5.62564, -0.00369596, -0.083676, 0.00227374, -0.0481529, -0.00706818, 0.753718
69, 5.65689, -0.00518621, -0.0848286, 0.000100003, -0.0491304, -0.00725999, 0.764488
70, 5.70376, -0.00474215, -0.0859181, -0.000586024, -0.0501563, -0.00732303, 0.775406
71, 5.73503, -0.00547656, -0.0877756, -0.00200388, -0.050995, -0.00741829, 0.785817
72, 5.78189, -0.00590665, -0.088646, -0.00282195, -0.0522372, -0.00751807, 0.796286
73, 5.81316, -0.00688705, -0.0900572, -0.00252187, -0.0532747, -0.00786994, 0.806617
74, 5.86002, -0.00784681, -0.0910366, -0.0020984, -0.054139, -0.0077935, 0.815727
75, 5.89128, -0.0105176, -0.0922381, -0.00453145, -0.0551819, -0.00794204, 0.825533
76, 5.93814, -0.0147073, -0.0933204, -0.00581906, -0.0562494, -0.00807019, 0.835255
77, 6.04752, -0.0162369, -0.0949275, -0.0087381, -0.0572957, -0.00814337, 0.844723
78, 6.07879, -0.0118546, -0.0966363, -0.0122415, -0.0580717, -0.00821635, 0.854393
79, 6.12564, -0.00458245, -0.0976289, -0.0129009, -0.0591312, -0.00832914, 0.863464
80, 6.17252, 0.00121771, -0.0989186, -0.012611, -0.0600529, -0.00840233, 0.872223
81, 6.21941, 0.00245138, -0.0992189, -0.013613, -0.061007, -0.00846277, 0.88076
82, 6.25064, -0.000859931, -0.0999166, -0.0160933, -0.0619477, -0.00855661, 0.889021
83, 6.29752, -0.00354256, -0.101101, -0.0160932, -0.0628763, -0.00885822, 0.897134
84, 6.32879, -0.000664299, -0.102093, -0.0132815, -0.0636403, -0.00900487, 0.90486
85, 6.37565, 0.00363792, -0.101867, -0.00557377, -0.0643355, -0.00914828, 0.912301
86, 6.42254, 0.00793967, -0.100755, -0.0018933, -0.0650151, -0.0092646, 0.919483
87, 6.45377, 0.00847632, -0.097724, -0.00402209, -0.0656601, -0.00927535, 0.92638
88, 6.50094, 0.00589974, -0.0935339, -0.0084413, -0.0664305, -0.0093498, 0.93328
89, 6.53221, 0.00251664, -0.0887926, -0.00677827, -0.0670435, -0.00949335, 0.94008
90, 6.57907, -0.00218381, -0.0829828, -0.002844, -0.067531, -0.00963327, 0.946677
91, 6.61034, -0.0063648, -0.0746973, 0.00151211, -0.06791, -0.00990718, 0.953195
92, 6.67282, -0.00613561, -0.0638922, -0.00251699, -0.0683255, -0.0100702, 0.959623
93, 6.78221, -0.00563559, -0.0488761, -0.0083657, -0.0685938, -0.0102752, 0.966104
94, 6.82907, -0.00564413, -0.0307874, -0.0134551, -0.0686898, -0.0102339, 0.972434
95, 6.87595, -0.00649726, -0.00896659, -0.0120443, -0.0684469, -0.0102785, 0.978404
96, 6.92283, -0.00770975, 0.0169727, -0.00877969, -0.0679635, -0.0103389, 0.984252
97, 6.95409, -0.00943527, 0.0463986, -0.00828718, -0.0673564, -0.0103667, 0.989928
98, 7.00095, -0.0110323, 0.0791974, -0.00870615, -0.0664728, -0.0103668, 0.995615
99, 7.14159, -0.0119369, 0.116584, -0.00920967, -0.0654102, -0.0104119, 1.00116
100, 7.20408, -0.0123709, 0.158907, -0.00987543, -0.0647445, -0.0104807, 1.00732
101, 7.26658, -0.012822, 0.204741, -0.0103755, -0.063241, -0.0105159, 1.01267
102, 7.31345, -0.0120274, 0.255279, -0.0130333, -0.0616389, -0.0106124, 1.01769
103, 7.36033, -0.0102581, 0.310835, -0.0142929, -0.0597579, -0.0106908, 1.02249
104, 7.40722, -0.0093014, 0.369999, -0.0145134, -0.0575576, -0.0108105, 1.02703
105, 7.43845, -0.00882834, 0.432731, -0.0155065, -0.0552449, -0.0108739, 1.0313
106, 7.56347, -0.00773977, 0.497475, -0.0156216, -0.0524508, -0.010918, 1.03545
107, 7.64158, -0.00519398, 0.56319, -0.0128602, -0.0494227, -0.0110401, 1.03912
108, 7.68847, -0.00443227, 0.62949, -0.0126342, -0.0461364, -0.0111372, 1.0429
109, 7.71971, -0.00560972, 0.69504, -0.0124764, -0.0426435, -0.0112051, 1.04642
110, 7.76658, -0.00940254, 0.757165, -0.0150477, -0.038777, -0.0112042, 1.04936
111, 7.90721, -0.00829875, 0.819653, -0.0135031, -0.0347552, -0.0111443, 1.0522
112, 7.9541, -0.00696949, 0.881467, -0.0108428, -0.0307627, -0.0114322, 1.05466
113, 8.00098, 0.000547656, 0.940691, -0.00238948, -0.0264773, -0.0115024, 1.05705
114, 8.03221, -0.00172248, 0.996947, -0.00637779, -0.0221354, -0.0115971, 1.05924
115, 8.07909, -0.00941814, 1.05205, -0.0157491, -0.0177873, -0.0117633, 1.06127
116, 8.12596, -0.0123881, 1.10384, -0.0200129, -0.0133933, -0.0119927, 1.06305
117, 8.28223, 0.00146004, 1.15074, -0.00428589, -0.00878015, -0.0121359, 1.06449
118, 8.32909, 0.0366934, 1.19396, 0.0350418, -0.00404156, -0.0120614, 1.06564
119, 8.37597, 0.0497845, 1.23126, 0.0516766, 0.000830128, -0.0120869, 1.06683
120, 8.42284, 0.0501093, 1.26621, 0.0485118, 0.00570652, -0.0121569, 1.06813
121, 8.46972, 0.0221009, 1.29875, 0.014436, 0.0106364, -0.012316, 1.06946
122, 8.51668, 0.00692658, 1.32802, -0.00441057, 0.0157193, -0.012519, 1.0706
123, 8.54794, 0.0137419, 1.35415, 0.000748456, 0.0209912, -0.0127066, 1.07146
124, 8.5948, 0.0563711, 1.37784, 0.0413417, 0.0265972, -0.0127996, 1.07224
125, 8.73545, 0.111163, 1.3979, 0.08951, 0.0322766, -0.0127968, 1.07292
126, 8.7823, 0.132642, 1.4188, 0.103462, 0.0384603, -0.0128697, 1.07383
127, 8.82918, 0.125094, 1.43675, 0.0956049, 0.0444369, -0.0130633, 1.07456
128, 8.87606, 0.115552, 1.45249, 0.0908184, 0.0506577, -0.013339, 1.07522
129, 8.90732, 0.129253, 1.46693, 0.10795, 0.0571224, -0.0135896, 1.07578
130, 8.95418, 0.16437, 1.48004, 0.145636, 0.0639575, -0.0138483, 1.07635
131, 9.11045, 0.222614, 1.49124, 0.204827, 0.0710304, -0.014133, 1.07692
132, 9.17295, 0.321153, 1.50012, 0.302032, 0.0779446, -0.0140872, 1.0771
133, 9.20418, 0.387551, 1.50689, 0.36793, 0.0852584, -0.0142475, 1.07744
134, 9.25106, 0.443792, 1.51144, 0.423895, 0.0926893, -0.0144495, 1.07771
135, 9.29794, 0.507714, 1.51574, 0.486825, 0.100608, -0.0146457, 1.07796
136, 9.50111, 0.572776, 1.52057, 0.551226, 0.108613, -0.0147842, 1.07818
137, 9.56362, 0.679507, 1.52299, 0.65771, 0.11732, -0.0150656, 1.07874
138, 9.61049, 0.742932, 1.52428, 0.721205, 0.125914, -0.0152951, 1.07899
139, 9.65737, 0.801708, 1.52557, 0.780438, 0.134858, -0.0154985, 1.07916
140, 9.68863, 0.874783, 1.52522, 0.854151, 0.144081, -0.0157609, 1.07932
141, 9.73549, 0.950283, 1.5224, 0.930092, 0.153064, -0.0160579, 1.07968
142, 9.78237, 0.977227, 1.51911, 0.957315, 0.162481, -0.016298, 1.08003
143, 9.81364, 0.963645, 1.51597, 0.943792, 0.17242, -0.0166006, 1.08042
144, 9.93864, 0.939632, 1.51164, 0.919827, 0.18227, -0.0168928, 1.0809
145, 9.9855, 0.881397, 1.50842, 0.862037, 0.19263, -0.0170821, 1.08106
146, 10.0324, 0.849776, 1.5043, 0.831938, 0.203114, -0.0173152, 1.08151
147, 10.0949, 0.806947, 1.50155, 0.790735, 0.213791, -0.0176203, 1.08215
148, 10.1417, 0.734866, 1.50071, 0.720736, 0.224809, -0.0179012, 1.08297
149, 10.173, 0.691512, 1.49793, 0.678472, 0.235936, -0.0181852, 1.08372
150, 10.2199, 0.626698, 1.49619, 0.612911, 0.246682, -0.0185003, 1.08434
151, 10.2511, 0.598092, 1.49422, 0.579831, 0.25798, -0.0185836, 1.08536
152, 10.298, 0.527693, 1.49597, 0.50428, 0.268942, -0.0188426, 1.08615
153, 10.3293, 0.494777, 1.49751, 0.468361, 0.280002, -0.0191979, 1.08695
154, 10.3761, 0.464813, 1.49861, 0.439053, 0.291536, -0.0196639, 1.08792
155, 10.4074, 0.424195, 1.50004, 0.400204, 0.302948, -0.0200448, 1.08887
156, 10.5324, 0.441457, 1.49966, 0.418458, 0.314457, -0.0203551, 1.08975
157, 10.5636, 0.386136, 1.50086, 0.36405, 0.326443, -0.0209255, 1.09031
158, 10.6105, 0.366452, 1.50125, 0.344072, 0.337747, -0.0213193, 1.09116
159, 10.6574, 0.332651, 1.50203, 0.309708, 0.349177, -0.021688, 1.09214
160, 10.7043, 0.299611, 1.50407, 0.275435, 0.360517, -0.0221182, 1.09309
161, 10.7355, 0.252902, 1.50786, 0.229499, 0.371649, -0.0226298, 1.09387
162, 10.7824, 0.215012, 1.51248, 0.193213, 0.382726, -0.0230889, 1.09468
163, 10.923, 0.175628, 1.51735, 0.156713, 0.39318, -0.0235954, 1.09499
164, 10.9699, 0.157153, 1.52372, 0.140127, 0.404694, -0.023966, 1.09541
165, 11.0168, 0.173602, 1.5311, 0.156476, 0.415833, -0.0243482, 1.09588
166, 11.0636, 0.203106, 1.53984, 0.18513, 0.426979, -0.0247109, 1.09624
167, 11.1105, 0.294591, 1.54947, 0.27638, 0.437898, -0.025068, 1.09644
168, 11.1418, 0.59332, 1.55855, 0.576353, 0.448664, -0.0254752, 1.0965
169, 11.2668, 1.66731, 1.56591, 1.65146, 0.45961, -0.0258409, 1.09642
170, 11.3136, 2.64693, 1.55668, 2.63152, 0.471643, -0.0261693, 1.0967
171, 11.3605, 2.86155, 1.54634, 2.84583, 0.482556, -0.0264896, 1.09646
172, 11.4074, 2.93225, 1.53526, 2.91599, 0.493484, -0.0268275, 1.09621
173, 11.4543, 2.99654, 1.5252, 2.97934, 0.503912, -0.0271452, 1.09561
174, 11.4855, 3.01951, 1.51474, 3.00152, 0.514637, -0.027562, 1.09506
175, 11.5325, 3.02318, 1.50504, 3.00444, 0.525242, -0.0278448, 1.09442
176, 11.6419, 3.02815, 1.49564, 3.00887, 0.535947, -0.0281661, 1.09342
177, 11.6887, 3.03663, 1.48648, 3.01662, 0.547392, -0.028469, 1.09233
178, 11.72, 3.03489, 1.47787, 3.01536, 0.557625, -0.0287587, 1.09128
179, 11.7668, 3.0241, 1.47046, 3.00581, 0.567795, -0.0290931, 1.09013
180, 11.7981, 3.00327, 1.46483, 2.98672, 0.578102, -0.0294076, 1.089
181, 11.845, 2.98121, 1.46056, 2.9664, 0.588239, -0.0297022, 1.08785
182, 11.8762, 2.9746, 1.45755, 2.96104, 0.598174, -0.0300177, 1.08677
183, 11.9231, 2.97567, 1.45569, 2.96294, 0.60787, -0.030252, 1.08576
184, 11.9544, 2.973, 1.45466, 2.95989, 0.617507, -0.0305258, 1.08475
185, 12.0012, 2.97767, 1.45533, 2.96395, 0.626918, -0.0310165, 1.08382
186, 12.0325, 2.96789, 1.45806, 2.95261, 0.635818, -0.0313147, 1.08286
187, 12.0794, 2.96103, 1.46314, 2.94528, 0.644576, -0.0316293, 1.08199
188, 12.1887, 2.95596, 1.47109, 2.93951, 0.653059, -0.0319667, 1.08127
189, 12.2356, 2.92375, 1.48231, 2.90719, 0.660968, -0.0322392, 1.08074
190, 12.2825, 2.89522, 1.49579, 2.87828, 0.668895, -0.0325673, 1.08034
191, 12.3137, 2.83361, 1.51238, 2.81516, 0.676617, -0.0328783, 1.08014
192, 12.3606, 2.70488, 1.53264, 2.68382, 0.684235, -0.0332236, 1.08015
193, 12.4075, 2.17392, 1.55304, 2.14973, 0.691797, -0.0335536, 1.08033
194, 12.4387, 0.637085, 1.54823, 0.61107, 0.699239, -0.0338736, 1.08077
195, 12.4856, 0.215874, 1.51799, 0.190626, 0.706277, -0.0342324, 1.08133
196, 12.5325, 0.118756, 1.48002, 0.0958745, 0.713008, -0.0344786, 1.08218
197, 12.5637, 0.0680563, 1.43805, 0.0489049, 0.720432, -0.0347904, 1.08352
198, 12.6106, 0.0378324, 1.39224, 0.0230606, 0.727286, -0.035016, 1.08511
199, 12.6575, 0.0121552, 1.34221, 0.000948476, 0.733925, -0.0352131, 1.08681
200, 12.7825, -0.00585945, 1.28815, -0.0142871, 0.740066, -0.0355647, 1.08891
201, 12.8294, -0.00123028, 1.2325, -0.0101806, 0.747366, -0.0357128, 1.0922
202, 12.9856, 0.00772371, 1.17037, -0.00275129, 0.753655, -0.0358352, 1.09532
203, 13.0481, 0.0163314, 1.10507, 0.00134418, 0.760102, -0.0361423, 1.09897
204, 13.095, 0.0247186, 1.03723, 0.00502924, 0.765799, -0.0363552, 1.10287
205, 13.2356, 0.0232548, 0.967887, -0.000340936, 0.771212, -0.0366286, 1.10715
206, 13.2825, 0.0214809, 0.900973, -0.00596939, 0.77569, -0.0367356, 1.11194
207, 13.3294, 0.0226306, 0.832161, -0.00660691, 0.78027, -0.036946, 1.117
208, 13.4856, 0.0219113, 0.76422, -0.00668402, 0.784557, -0.0371546, 1.12239
209, 13.5326, 0.0164865, 0.696463, -0.00734267, 0.788429, -0.0373317, 1.12804
210, 13.5794, 0.0100834, 0.629252, -0.00666009, 0.792074, -0.0375371, 1.13412
211, 13.6107, 0.00310661, 0.56393, -0.00838125, 0.795386, -0.0376934, 1.14051
212, 13.7513, -0.00359976, 0.502231, -0.0082736, 0.798264, -0.0377981, 1.14697
213, 13.7982, -0.00969339, 0.445157, -0.010247, 0.800804, -0.0380304, 1.15361
214, 13.8451, -0.0138547, 0.395078, -0.0131591, 0.803061, -0.0381678, 1.16051
215, 13.8764, -0.0182151, 0.352271, -0.0201206, 0.805093, -0.0381997, 1.16772
216, 13.9857, -0.017396, 0.315231, -0.023367, 0.806814, -0.0381917, 1.17471
217, 14.0326, -0.0169929, 0.282288, -0.0241246, 0.808715, -0.0381586, 1.18204
218, 14.0795, -0.0145113, 0.259678, -0.0171158, 0.810606, -0.0381132, 1.18946
219, 14.1263, -0.0139937, 0.243615, -0.013462, 0.812444, -0.0381554, 1.19709
220, 14.1732, -0.0143236, 0.230352, -0.0170906, 0.814149, -0.0381419, 1.20484
221, 14.2045, -0.015651, 0.220293, -0.0219777, 0.815759, -0.038038, 1.21287
222, 14.2513, -0.0157811, 0.213726, -0.0292656, 0.817363, -0.0379973, 1.22056
223, 14.2826, -0.0130377, 0.210449, -0.0337215, 0.819042, -0.0379865, 1.22849
224, 14.392, -0.0116494, 0.210566, -0.0358065, 0.820569, -0.0382766, 1.23745
225, 14.4388, -0.00728663, 0.213319, -0.0347296, 0.82246, -0.0381897, 1.24703
226, 14.4857, -0.000311089, 0.217726, -0.0318464, 0.824473, -0.0381775, 1.2559
227, 14.517, 0.00437808, 0.222179, -0.031209, 0.826548, -0.0382254, 1.26487
228, 14.5638, 0.00249474, 0.226646, -0.0365613, 0.828631, -0.0383379, 1.27419
229, 14.6107, -0.002855, 0.232228, -0.0411818, 0.830737, -0.0384213, 1.2834
230, 14.642, -0.007537, 0.236874, -0.039462, 0.833172, -0.0386478, 1.29302
231, 14.6888, -0.0124049, 0.240472, -0.0362937, 0.835843, -0.0386855, 1.30284
232, 14.7201, -0.0166555, 0.243885, -0.03535, 0.838552, -0.0385995, 1.31297
233, 14.8295, -0.0161782, 0.246924, -0.0307063, 0.841322, -0.0386188, 1.32354
234, 14.8763, -0.0115707, 0.246664, -0.0247629, 0.844051, -0.0386861, 1.33354
235, 14.9232, -0.00384723, 0.246298, -0.022032, 0.846764, -0.0387355, 1.34386
236, 14.9701, 0.00268249, 0.245579, -0.0227218, 0.849395, -0.0387802, 1.35437
237, 15.017, 0.00608442, 0.242984, -0.0249917, 0.851961, -0.0387519, 1.36503
238, 15.0482, 0.00191194, 0.24057, -0.0246656, 0.854583, -0.0388563, 1.37613
239, 15.0951, -0.00531494, 0.239144, -0.0220815, 0.857302, -0.0392042, 1.38776
240, 15.2201, -0.0118016, 0.236023, -0.0240767, 0.860296, -0.039501, 1.39894
241, 15.267, -0.0117744, 0.234473, -0.0276845, 0.862518, -0.039497, 1.41025
242, 15.3138, -0.00812339, 0.23246, -0.0325613, 0.865075, -0.0395149, 1.42195
243, 15.3451, -0.00259647, 0.228585, -0.0320966, 0.867749, -0.0395998, 1.43358
244, 15.392, 0.000835993, 0.224657, -0.0303107, 0.870539, -0.0397037, 1.44575
245, 15.4232, -0.000163207, 0.220741, -0.0282524, 0.87324, -0.0398744, 1.45798
246, 15.4701, -0.00177245, 0.217366, -0.0250707, 0.875863, -0.0402024, 1.47011
247, 15.5015, -0.00434786, 0.215537, -0.0247928, 0.87854, -0.0402633, 1.4826
248, 15.6265, -0.00608225, 0.213807, -0.022003, 0.881554, -0.0403529, 1.49487
249, 15.6733, -0.00589045, 0.213521, -0.016456, 0.88444, -0.0405188, 1.50819
250, 15.7202, -0.00784926, 0.212688, -0.017763, 0.887237, -0.0406329, 1.52089
251, 15.7671, -0.00713789, 0.213143, -0.0230439, 0.889891, -0.0407843, 1.53376
252, 15.7983, -0.00509866, 0.213594, -0.0283525, 0.892652, -0.0409567, 1.5468
253, 15.8452, -0.00548011, 0.214375, -0.0372922, 0.895336, -0.041075, 1.55981
254, 15.9546, -0.00756056, 0.217206, -0.0433237, 0.897967, -0.0412387, 1.57254
255, 16.0015, -0.0101234, 0.219979, -0.0459484, 0.900843, -0.0413758, 1.58616
256, 16.0483, -0.00947714, 0.222465, -0.0461938, 0.903784, -0.0415504, 1.59918
257, 16.0796, -0.00641652, 0.224534, -0.0440945, 0.906754, -0.0417369, 1.61228
258, 16.1265, -0.00650565, 0.225578, -0.0375961, 0.909946, -0.0419449, 1.62534
259, 16.1733, -0.00339143, 0.225822, -0.0298979, 0.913206, -0.0422332, 1.6385
260, 16.2046, -0.00335059, 0.227186, -0.0294172, 0.916365, -0.0424539, 1.65202
261, 16.2515, -0.00719611, 0.228832, -0.0328944, 0.919175, -0.0426809, 1.66496
262, 16.3765, -0.0138263, 0.229957, -0.0367527, 0.922051, -0.0427827, 1.67817
263, 16.4077, -0.0193308, 0.230748, -0.0427415, 0.925396, -0.0428991, 1.69191
264, 16.4546, -0.0124006, 0.232038, -0.0405068, 0.9285, -0.0430688, 1.70488
265, 16.5015, 0.00364642, 0.232114, -0.0326538, 0.931713, -0.0433269, 1.71757
266, 16.5483, 0.0135911, 0.231395, -0.0278773, 0.934973, -0.043663, 1.7304
267, 16.5796, 0.00451797, 0.230407, -0.0269554, 0.938027, -0.0439857, 1.74343
268, 16.6421, -0.0159782, 0.228804, -0.0249795, 0.941196, -0.0442588, 1.75674
269, 16.7515, -0.0310491, 0.227447, -0.0248458, 0.944353, -0.044439, 1.76993
270, 16.7984, -0.0260896, 0.227053, -0.0288654, 0.947113, -0.0443576, 1.78324
271, 16.8296, -0.0110312, 0.225428, -0.0338068, 0.949933, -0.0443287, 1.79599
272, 16.8765, -0.0027778, 0.224428, -0.0322362, 0.952831, -0.0443472, 1.80878
273, 16.9234, -0.00103575, 0.22217, -0.0277486, 0.955952, -0.0446159, 1.82169
274, 16.9546, -0.00250228, 0.219007, -0.0282677, 0.959045, -0.0447856, 1.83451
275, 17.0015, -0.000751529, 0.214956, -0.0278743, 0.962032, -0.0448233, 1.84724
276, 17.0484, 0.000789437, 0.209799, -0.0275927, 0.964653, -0.0452578, 1.85958
277, 17.0796, -0.000245733, 0.206738, -0.0322142, 0.967092, -0.045675, 1.87211
278, 17.1265, -0.00112916, 0.20455, -0.0391551, 0.969666, -0.0457628, 1.88493
279, 17.1734, -0.0033893, 0.202397, -0.0415498, 0.972374, -0.0459516, 1.89761
280, 17.2671, -0.00800076, 0.202007, -0.0397323, 0.973742, -0.0460604, 1.90899
281, 17.314, -0.00763978, 0.201729, -0.0382203, 0.975209, -0.0461401, 1.92055
282, 17.3609, -0.00421755, 0.19928, -0.0359627, 0.977679, -0.0463823, 1.93301
283, 17.4077, 0.000798758, 0.194541, -0.0302983, 0.980199, -0.0465991, 1.94542
284, 17.4546, 0.00256865, 0.187905, -0.0273244, 0.98266, -0.0467623, 1.95784
285, 17.5018, -0.00255538, 0.181424, -0.0266748, 0.984841, -0.0469546, 1.97027
286, 17.6268, -0.0107102, 0.175305, -0.0253854, 0.986936, -0.0471865, 1.98288
287, 17.6736, -0.0194939, 0.170775, -0.0231563, 0.989472, -0.0472632, 1.99589
288, 17.7205, -0.0232493, 0.166442, -0.0303188, 0.991398, -0.0473058, 2.0084
289, 17.7674, -0.0189096, 0.161644, -0.0322553, 0.993297, -0.0473643, 2.02075
290, 17.7987, -0.00833355, 0.154493, -0.0310032, 0.995198, -0.0474202, 2.03306
291, 17.8455, -0.00210043, 0.14826, -0.0265316, 0.997038, -0.0474452, 2.04553
292, 17.8924, -0.00294204, 0.141629, -0.0256071, 0.998773, -0.0475707, 2.05839
293, 17.9393, -0.00718649, 0.133837, -0.0326524, 1.00032, -0.0477583, 2.07133
294, 18.0799, -0.00625978, 0.125888, -0.0382953, 1.00162, -0.0479397, 2.08422
295, 18.1268, -0.000188338, 0.115935, -0.0403458, 1.00287, -0.047913, 2.09678
296, 18.1736, 0.0026225, 0.107594, -0.0386016, 1.00417, -0.0480463, 2.10965
